index original filtered
237 1.73209 1.6442
238 1.62302 1.68004
239 1.58572 1.71531
240 1.71226 1.75
241 1.88608 1.78409
242 1.9299 1.81758
243 1.83059 1.85046
244 1.75587 1.88271
245 1.84143 1.91432
246 2.01882 1.94528
247 2.10225 1.97558
248 2.02429 2.00521
249 1.92145 2.03417
250 1.96094 2.06243
251 2.1285 2.09
252 2.2465 2.11686
253 2.1993 2.143
254 2.07993 2.16841
255 2.07209 2.19309
256 2.21703 2.21703
257 2.36121 2.24021
258 2.35111 2.26264
259 2.22799 2.2843
260 2.17553 2.30518
261 2.28679 2.32528
262 2.4461 2.3446
263 2.47584 2.36312
264 2.36177 2.38084
265 2.27109 2.39776
266 2.34032 2.41386
267 2.50203 2.42914
268 2.57045 2.44361
269 2.4771 2.45724
270 2.35772 2.47004
271 2.38001 2.482
272 2.53086 2.49313
273 2.63299 2.5034
274 2.56985 2.51283
275 2.43352 2.52141
276 2.40784 2.52913
277 2.5352 2.536
278 2.66271 2.54201
279 2.63622 2.54715
280 2.49586 2.55144
281 2.42515 2.55486
282 2.51815 2.55741
283 2.66009 2.5591
284 2.67303 2.55991
285 2.54158 2.55987
286 2.43247 2.55895
287 2.48297 2.55717
288 2.62674 2.55452
289 2.67802 2.551
290 2.56728 2.54663
291 2.42947 2.54138
292 2.4328 2.53528
293 2.56529 2.52832
294 2.65002 2.5205
295 2.56956 2.51183
296 2.415 2.5023
297 2.37036 2.49193
298 2.47912 2.48071
299 2.58907 2.46866
300 2.54541 2.45576
301 2.38718 2.44204
302 2.29773 2.42749
303 2.37209 2.41211
304 2.49641 2.39592
305 2.49242 2.37891
306 2.34361 2.3611
307 2.2162 2.34249
308 2.24823 2.32309
309 2.37446 2.3029
310 2.40911 2.28193
311 2.28162 2.26018
312 2.12617 2.23767
313 2.11143 2.2144
314 2.22659 2.19038
315 2.29507 2.16562
316 2.19858 2.14013
317 2.0272 2.11391
318 1.96512 2.08697
319 2.05693 2.05933
320 2.15109 2.03098
321 2.09217 2.00195
322 1.91811 1.97225
323 1.81207 1.94187
324 1.87006 1.91084
325 1.97914 1.87915
326 1.96073 1.84684
327 1.79719 1.81389
328 1.65423 1.78033
329 1.67067 1.74617
330 1.78231 1.71142
331 1.80343 1.67608
332 1.66241 1.64018
333 1.49263 1.60372
334 1.46327 1.56672
335 1.56463 1.52919
336 1.62052 1.49114
337 1.51175 1.45259
338 1.32743 1.41354
339 1.25188 1.37401
340 1.33083 1.33402
341 1.41338 1.29358
342 1.34349 1.2527
343 1.15798 1.21139
344 1.03983 1.16967
345 1.08603 1.12756
346 1.18454 1.08507
347 1.15647 1.0422
348 0.983073 0.998986
349 0.829524 0.955432
350 0.8354 0.911553
351 0.937588 0.867366
352 0.950387 0.822885
353 0.801136 0.778125
354 0.622425 0.733102
355 0.58389 0.68783
356 0.676997 0.642325
357 0.725895 0.596602
358 0.610547 0.550677
359 0.419051 0.504566
360 0.335882 0.458283
361 0.407858 0.411845
362 0.484753 0.365268
363 0.409925 0.318567
364 0.219077 0.271758
365 0.0949772 0.224857
366 0.13559 0.17788
367 0.229799 0.130843
368 0.198411 0.0837609
369 0.0215292 0.0366507
370 -0.136179 -0.0104719
371 -0.13439 -0.057591
372 -0.0351409 -0.104691
373 -0.0240993 -0.151755
374 -0.174972 -0.198767
375 -0.355968 -0.245713
376 -0.396992 -0.292575
377 -0.305434 -0.339338
378 -0.256778 -0.385985
379 -0.371926 -0.432503
380 -0.563786 -0.478873
381 -0.647749 -0.525082
382 -0.575897 -0.571112
383 -0.497781 -0.616949
384 -0.570653 -0.662577
385 -0.759931 -0.70798
386 -0.883055 -0.753144
387 -0.841096 -0.798052
388 -0.744253 -0.84269
389 -0.772018 -0.887042
390 -0.945423 -0.931094
391 -1.10033 -0.97483
392 -1.09568 -1.01824
393 -0.992423 -1.0613
394 -0.976195 -1.104
395 -1.12175 -1.14633
396 -1.2981 -1.18826
397 -1.33469 -1.2298
398 -1.23779 -1.27092
399 -1.18249 -1.31161
